AOS 60,Common Name,Scientific Name,group,order,family,taxonomic notes,Canada,USA,Mexico,C America,Mig Status,Introduced,Nonbreeding only,PS-g,PS-g_s,PS-g_com,Global Pop Size,Global Pop Size#,Pop Size_US-Ca,Pop Size_US-Ca#,PopYr,Pop Size_US-Ca_s,Pop Size_US-Ca_com,%GL_WH-b,%WH_US-Ca-b,% Breeding Pop in US & Canada,% Breeding Pop in US & Canada#,%Pop_s,BD-g,BD area,BD-g_s,BD-g_com,ND-g,ND area,ND-g_s,ND-g_com,TB-c,TB-c_s,TB-c_com,TN-c,TN-c_s,TN-c_com,PT-c,PT-c_s,PT-c_com,trend (%/yr),trend source,lcl_90%CI,ucl_90%CI,lcl_67%CI,ucl_67%CI,RA,DF,pop change,pop change 90% lcl,pop change 90% ucl,Half-Life,CCS-b,CCS-n,CCS-max,CI,IUCN Red List 2018,Urban,Agriculture,Breeding Biome,Nonbreeding Biome,Primary Breeding Habitat,Secondary Breeding Habitat,Primary Nonbreeding Habitat,Secondary Nonbreeding Habitat
39,Cinnamon Teal,Spatula cyanoptera,waterfowl,Anseriformes,Anatidae,Formerly placed in the genus Anas.,1,1,1,1,PM,,,4,"WPE5, NAWMP 2012",very low estimates for S. America pops in WPE,"380,000",380000,"440,000",440000,2010.5,PIFcalc19,,100,,,,"bbs0514(BBS), eBrd17(WHem)",1,6904749,Natureserve,,1,6265279,Natureserve,,3,TrUST 2016,,3,TrUST 2016,"With this species (vs. BWTE), all of the uncertainty lies outside the US, and we haven't seen an increasing population size, so score 3/3 (TrUST 2016).",5,BBS7017,,-2.18,BBS7017,-3.03,-1.45,-2.62,-1.74,0.56,476,-62.90,-75.34,-42.77,,13,13,13,Watch List - Yel-D,LC,,,Western Temperate,Western Temperate,Wetlands:  Freshwater Marsh,,Wetlands:  Freshwater Marsh,Wetlands:  Lakes and Rivers
40,Northern Shoveler,Spatula clypeata,waterfowl,Anseriformes,Anatidae,Monotypic. Formerly placed in the genus Anas.,1,1,1,1,PM,,,2,WPE5; NAWMP 2018,"non-breeding surveys in WPE, 2/3 adjustment applied to all estimates except NAWMP 2018","5,900,000",5900000,"4,400,000",4400000,,NAWMP 2018,,30,,,,"bbs0514(BBS), eBrd17(WHem), PIF(Glob)",1,26371937,"Natureserve, with Old World extrapolation",,1,17197873,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,TrUST 2016,keep as is (TrUST 2016),2,TrUST 2016,keep as is (TrUST 2016),1,FWS7017,,2.28,FWS7017,2.16,2.40,,,,,188.31,172.58,201.16,,7,6,7,,LC,,,Nearctic,Nearctic,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh,Wetlands:  Generalist,
52,Northern Pintail,Anas acuta,waterfowl,Anseriformes,Anatidae,"Recognized as a monotypic by AOU (1957), Clements (2000), and Howard and Moore (2003). Subspecies <i>Anas acuta acuta, A. a. eatoni</i>, and <i>A. a. ...",1,1,1,1,M,,,3,NAWMP 2018; WPE5,"mostly non-breeding population estimates outside of North America, so 2/3 adjustment applied to those pops.","5,100,000",5100000,"3,200,000",3200000,,NAWMP 2018,,40,,,,"eBrd17(UsCa,WHem), PIF(Glob)",1,26113543,"Natureserve, with Old World extrapolation",,1,19443465,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,4,TrUST 2016,Potential increase in cropland and increased drying due to increasing temperature in southern Saskatchewan suggest 4 for breeding (TrUST 2016).,3,TrUST 2016,"Threats increasing for NOPI due to reliance on rice along Gulf Coast; rice production expected to decline, so boost 2 to 3 for non-breeding (TrUST 2016).",4,FWS7017,,-1.23,FWS7017,-1.35,-1.12,,,,,-44.11,-47.49,-40.79,,12,11,12,,LC,,w,Nearctic,Nearctic,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Tundra,Wetlands:  Generalist,
59,Greater Scaup,Aythya marila,waterfowl,Anseriformes,Anatidae,,1,1,1,1,M,,,3,WPE5; NAWMP 2018; NAWMP 2012,"Replaced WPE5 estimate for NA with NAWMP 2018 all scaup estimate for North America multiplied by the NAWMP 2012 ratio of GRSC:LESC.  Other WPE5 pop estimates based on non-breeding surveys, so 2/3 adjustment applied for breeding pop estimate.","1,200,000",1200000,"720,000",720000,,NAWMP 2018; NAWMP 2012,NAWMP 2018 all scaup estimate for North America multiplied by the NAWMP 2012 ratio of GRSC:LESC,30,,,,"eBrd17(UsCa,WHem), PIF(Glob)",1,10296457,"Natureserve, with Old World extrapolation",,1,6481437,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,TrUST 2016,"As with LESC, 3 for breeding is appropriate (TrUST 2016).",2,TrUST 2016,"NB should be 2, as it utilizes more open water and less marsh (TrUST 2016).",4,CBC7017,,-1.47,CBC7017,-2.90,0.29,-2.29,-0.52,5.32,1095,-44.82,-69.99,10.27,,11,10,11,,LC,,,Arctic,Nearctic,Wetlands:  Tundra,,Coasts:  Marine Waters,Wetlands:  Lakes and Rivers
60,Lesser Scaup,Aythya affinis,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,1,1,M,,,3,NAWMP 2018; NAWMP 2012,NAWMP 2018 all scaup estimate for North America multiplied by the NAWMP 2012 ratio of LESC:GRSC.,"3,700,000",3700000,"3,700,000",3700000,,NAWMP 2018; NAWMP 2012,NAWMP 2018 all scaup estimate for North America multiplied by the NAWMP 2012 ratio of LESC:GRSC.,100,98.60982513,100,100,NAWMP 2018; NAWMP 2012,1,5103713,Natureserve,,1,6033188,Natureserve,,3,TrUST 2016,Score of 3 in breeding could be impacted by climate change and food availability mismatch (TrUST 2016).,3,TrUST 2016,Non-breeding =3 for LESC due to spring migration foraging uncertainty (TrUST 2016).,4,BBS7017,Rosenberg 2020: FWS useless for species level trends since doesn't distinguish Greater Scaup,-1.21,BBS7017,-2.08,-0.45,-1.71,-0.76,3.53,507,-41.43,-56.57,-14.34,,11,11,11,,LC,,,Nearctic,Widespread,Wetlands:  Lakes and Rivers,Wetlands:  Freshwater Marsh,Coasts:  Marine Waters,Wetlands:  Lakes and Rivers
61,Steller's Eider,Polysticta stelleri,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,0,0,M,,,4,WPE5,"2/3 adjustment applied to W. Siberia/NE Europe winter estimate, not to N. Pacific spring estimate.","200,000",200000,660,660,,NAWMP 2018,,30,,,,"eBrd17(UsCa,WHem), PIF(Glob)",5,74300,"Natureserve, with Old World extrapolation",,3,751470,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,4,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,climate change and associated increasing shipping and resource development (FWS Mig Birds/ Sea Duck JV 2017),4,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,"they're tied to more near-shore and lagoon systems, and you could argue that they would be more susceptible to things like shoreline oiling and climate-change-induced changes to lagoon systems (e.g., erosion of barrier islands due to storm surges, lack of ice, sea level rise (FWS Mig Birds/ Sea Duck JV 2017)",5,Bowman et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,"Rosenberg 2019: BNA also indicates significant declines; CBC would score as PT = 4 due to detection in just 10 circles, would probably be PT5 if larger samples",-4.04,CBC7017*,-5.91,-2.25,-5.13,-2.96,172.48,10,-82.19,-92.83,-65.02,,18,16,18,Watch List - Red,VU,,,Arctic,Arctic,Wetlands:  Tundra,,Coasts:  Marine Waters,
62,Spectacled Eider,Somateria fischeri,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,0,0,M,,,4,WPE5,"Late winter survey, 2/3 adjustment applied","250,000",250000,"20,000",20000,,NAWMP 2018,,50,,,,"eBrd17(UsCa), PIF(Glob)",5,62480,"Natureserve, with Old World extrapolation",,5,18692,Natureserve,,4,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,climate change and associated increasing shipping and resource development (FWS Mig Birds/ Sea Duck JV 2017),4,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,"SPEI are definitely facing greater threats during non-breeding period than other eiders because the entire population concentrates in polynyas in the Bering Sea where the ice is critical for protection and energetically (they haul out on the ice to save energy).  Ice conditions have been shown to have an effect on population dynamics, and the projection is for decreased ice coverage due to climate change.   Either severe ice conditions or lack of ice could have profound effects on the SPEI population.  In addition, benthic communities have been changing from a bivalve-dominated benthic community to a fish-dominated community, again related to climate changes.  (FWS Mig Birds/ Sea Duck JV 2017)",5,Bowman et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,,,,,,,,,,,,,,18,18,18,Watch List - Red,NT,,,Arctic,Arctic,Wetlands:  Tundra,Coasts:  Tundra,Oceans:  Arctic Polynyas,
63,King Eider,Somateria spectabilis,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,0,0,M,,,3,WPE5; NAWMP 2018,"Combined NAWMP 2018 estimate with corrected WPE5 estimate (referred to original source showing 300,000-400,000) for E. Greenland, NE Europe, and W. Siberia.  Applied 2/3 rule to the latter population since they included winter estimates in their total.  WPE5 lacks an estimate for E. Asia, so this is a minimum estimate.",">830,000",830000,"600,000",600000,,NAWMP 2018,,50,,,,"eBrd17(UsCa,WHem), PIF(Glob)",2,3370636,"Natureserve, with Old World extrapolation",,2,2111558,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,4,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,climate change and associated increasing shipping and resource development (FWS Mig Birds/ Sea Duck JV 2017),3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,,5,CBC7017; BNA Powell & Suydam 2012,,-6.43,CBC7017,-9.06,-3.69,-8.01,-4.80,10.73,56,-90.31,-97.44,-61.91,,14,13,14,Watch List - Yel-D,LC,,,Arctic,Nearctic,Wetlands:  Tundra,Coasts:  Tundra,Coasts:  Marine Waters,
64,Common Eider,Somateria mollissima,waterfowl,Anseriformes,Anatidae,,1,1,0,0,M,,,3,NAWMP 2018; WPE5,2/3 adjustment applied to pop estimates in WPE 5 for outside N America and to NAWMP 2018 estimate for N America since all or most from non-breeding surveys,"2,300,000",2300000,"750,000",750000,,NAWMP 2018,"non-breeding survey, 2/3 adjustment applied to estimate breeding adults",65,100,40.74074,40.74074173,NAWMP 2018; WPE5,2,1999255,"Natureserve, with Old World extrapolation",,2,1002316,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,4,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,climate change and associated increasing shipping and resource development (FWS Mig Birds/ Sea Duck JV 2017),3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,,3,Bowman et al. 2015; FWS Mig Birds/ Sea Duck JV 2017; CBC7017,"Rosenberg 2019: BNA (2000) indicates declines in several populations and CBC trend highly imprecise, so PT3 seems right.",1.04,CBC7017,-4.69,6.67,-2.09,4.33,177.23,179,12.62,-77.64,479.38,,12,11,12,,NT,,,Arctic,Eastern Temperate,Coasts:  Cliffs and Islands,Coasts:  Marine Waters,Coasts:  Marine Waters,Coasts:  Rocky Intertidal
65,Harlequin Duck,Histrionicus histrionicus,waterfowl,Anseriformes,Anatidae,Monotypic. Howard and Moore (2003) list subspecies <i>H. h. histionicus</i> and <i>H. h. pacificus</i> but validity doubtful.,1,1,0,0,M,,,4,WPE5; NAWMP 2018,"combined NAWMP 2018 estimates with WPE estimates for Greenland, Iceland, and E. Asia.  Used 2/3 rule for all estimates since NAWMP based on index derived from winter surveys, as was Greenland.  Sources unavailable for Iceland and E. Asia so assumed includes all ages as per WPE5 guidelines.","230,000",230000,"170,000",170000,,NAWMP 2018,"non-breeding survey, 2/3 adjustment applied to estimate breeding adults.  Unclear if it includes birds that breed in Greenland.",50,,,,"eBrd17(UsCa,WHem), PIF(Glob)",1,6482534,"Natureserve, with Old World extrapolation",,2,1025318,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,,3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,,3,Bowman et al. 2015; FWS Mig Birds/ Sea Duck JV 2017; CBC7017,,-0.52,CBC7017,-1.83,0.82,-1.28,0.24,37.96,257,-21.74,-59.31,24.88,,11,12,12,,LC,,,Nearctic,Nearctic,Wetlands:  Lakes and Rivers,Coasts:  Beach and Estuary,Coasts:  Marine Waters,Coasts:  Rocky Intertidal
