Observador,Cuenca,Celda,Punto,Fecha,Hora inicio,Hora final,Especie,Individuos,Distancia,Tipo de registro,Habitat
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Coragyps atratus,2,,Vuelo,NA
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Coragyps atratus,1,,vuelo,NA
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Pyrocephalus rubinus,2,18,Visual,AD
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Sicalis flaveola,1,,Vuelo,NA
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Stelgidopteryx ruficollis,1,,Vuelo,NA
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Stilpnia vitriolina,1,5.9,Visual,AD
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Stilpnia vitriolina,1,,Vuelo,NA
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Theristicus caudatus,2,,Auditivo,NA
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Thraupis episcopus,2,19.5,Visual,AD
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Thraupis episcopus,1,,Vuelo,NA
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Turdus ignobilis,1,16.5,Visual,AD
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Turdus ignobilis,1,23.3,visual,AD
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Tyrannus melancholicus,1,29.5,Visual,PO
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Tyrannus melancholicus,1,57.1,Visual,AD
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Volatinia jacarina,1,,Vuelo,NA
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Xiphorhynchus susurrans,1,,Auditivo,NA
JUAN,Guabas,205,9,5-Jun,6:00,6:10,Zenaida auriculata,1,,Auditivo,NA
JUAN,Guabas,205,6,5-Jun,6:15,6:25,Colaptes rubiginosus,1,67.6,visual,OC
JUAN,Guabas,205,6,5-Jun,6:15,6:25,Elaenia flavogaster,1,17.7,visual,PO
JUAN,Guabas,205,6,5-Jun,6:15,6:25,Forpus conspicillatus,2,28,visual,AD
JUAN,Guabas,205,6,5-Jun,6:15,6:25,Forpus conspicillatus,4,13.9,visual,AD
JUAN,Guabas,205,6,5-Jun,6:15,6:25,Molothrus bonariensis,1,80,visual,PO
JUAN,Guabas,205,6,5-Jun,6:15,6:25,Pionus chalcopterus,2,,vuelo,NA
JUAN,Guabas,205,6,5-Jun,6:15,6:25,Sicalis flaveola,1,7.7,visual,AD
JUAN,Guabas,205,6,5-Jun,6:15,6:25,Synallaxis albescens,1,,Auditivo,NA
JUAN,Guabas,205,6,5-Jun,6:15,6:25,Troglodytes aedon,2,,Auditivo,NA
JUAN,Guabas,205,6,5-Jun,6:15,6:25,Troglodytes aedon,1,13.7,visual,AD
JUAN,Guabas,205,6,5-Jun,6:15,6:25,Tyrannus melancholicus,1,33.8,visual,PO
JUAN,Guabas,205,7,5-Jun,6:36,6:46,Bubulcus ibis,1,181.3,visual,PO
JUAN,Guabas,205,7,5-Jun,6:36,6:46,Chlorophanes spiza,2,20.8,visual,AD
JUAN,Guabas,205,7,5-Jun,6:36,6:46,Chlorophanes spiza,1,14.2,visual,AD
JUAN,Guabas,205,7,5-Jun,6:36,6:46,Forpus conspicillatus,1,12.2,visual,AD
JUAN,Guabas,205,7,5-Jun,6:36,6:46,Forpus conspicillatus,1,13.1,visual,AD
JUAN,Guabas,205,7,5-Jun,6:36,6:46,Psittacara wagleri,6,,vuelo,NA
JUAN,Guabas,205,7,5-Jun,6:36,6:46,Rupornis magnirostris,1,54.3,visual,BNC
JUAN,Guabas,205,7,5-Jun,6:36,6:46,Sporophila nigricollis,1,8.3,visual,PO
JUAN,Guabas,205,7,5-Jun,6:36,6:46,Stelgidopteryx ruficollis,1,,vuelo,NA
JUAN,Guabas,205,7,5-Jun,6:36,6:46,Stilpnia cyanicollis,2,17.3,visual,BNC
JUAN,Guabas,205,7,5-Jun,6:36,6:46,Thamnophilus multistriatus,1,,Auditivo,NA
JUAN,Guabas,205,7,5-Jun,6:36,6:46,Todirostrum cinereum,2,6,visual,AD
JUAN,Guabas,205,7,5-Jun,6:36,6:46,Vanellus chilensis,2,259,visual,PO
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Ara severus,2,,vuelo,NA
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Coereba flaveola,1,7.5,visual,AD
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Coereba flaveola,1,42.1,visual,AD
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Dryocopus lineatus,1,,Auditivo,NA
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Elaenia flavogaster,1,20.3,visual,AD
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Grallaria ruficapilla,1,,Auditivo,NA
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Pionus chalcopterus,1,107.9,visual,AD
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Ramphocelus dimidiatus,2,30.7,visual,GU
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Saucerottia saucerottei,1,33.4,visual,GU
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Spinus psaltria,1,13.5,visual,OC
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Tapera naevia,1,,Auditivo,NA
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Thamnophilus multistriatus,1,,Auditivo,NA
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Theristicus caudatus,2,,vuelo,NA
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Troglodytes aedon,1,,Auditivo,NA
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Volatinia jacarina,3,8,visual,OC
JUAN,Guabas,205,8,5-Jun,7:00,7:10,Volatinia jacarina,1,12.6,visual,AD
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Arremon brunneinucha,2,2,visual,PO
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Columbina talpacoti,1,18.4,visual,BNC
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Daptrius chimachima,1,,vuelo,NA
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Forpus conspicillatus,2,18.9,visual,AD
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Heliomaster longirostris,1,,vuelo,AD
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Molothrus bonariensis,1,,vuelo,NA
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Myiozetetes cayanensis,1,,Auditivo,NA
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Myiozetetes cayanensis,1,16.5,visual,AD
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Myiozetetes cayanensis,1,92.9,visual,BNC
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Picumnus granadensis,1,13.5,visual,BNC
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Pitangus sulphuratus,1,,Auditivo,NA
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Spinus psaltria,1,13.3,visual,AD
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Thamnophilus multistriatus,1,,Auditivo,NA
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Theristicus caudatus,2,,Auditivo,NA
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Thraupis episcopus,1,,vuelo,NA
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Turdus ignobilis,2,10.3,visual,AD
JUAN,Guabas,205,10,5-Jun,7:33,7:43,Tyrannulus elatus,1,,Auditivo,NA
JUAN,Guabas,205,5,5-Jun,7:50,8:00,Bubulcus ibis,2,,vuelo,NA
JUAN,Guabas,205,5,5-Jun,7:50,8:00,Columbina talpacoti,2,38.8,visual,AD
JUAN,Guabas,205,5,5-Jun,7:50,8:00,Coragyps atratus,2,,vuelo,NA
JUAN,Guabas,205,5,5-Jun,7:50,8:00,Daptrius chimachima,1,,Auditivo,NA
JUAN,Guabas,205,5,5-Jun,7:50,8:00,Stelgidopteryx ruficollis,1,,vuelo,NA
