CommonName,Species,NumDetects,SumAbun,SumMax,PS.g,BD.g,ND.g,TB.c,TN.c,PT.c,CCS.b,CCS.n,CCS.max,IUCN.Red.List.2018
Yellow-headed Caracara,Milvago chimachima,183,721,505,2,1,1,1,1,1,5,5,5,LC
Blue-black Grassquit,Volatinia jacarina,163,437,314,1,1,1,1,1,1,4,4,4,LC
Smooth-billed Ani,Crotophaga ani,157,917,680,2,1,1,2,2,3,8,8,8,LC
Southern Lapwing,Vanellus chilensis,150,1207,861,2,1,1,1,1,1,5,5,5,LC
Black Vulture,Coragyps atratus,147,1086,830,1,1,1,1,1,1,4,4,4,LC
Eared Dove,Zenaida auriculata,136,780,552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruddy Ground Dove,Columbina talpacoti,123,290,237,2,1,1,1,1,1,5,5,5,LC
Tropical Kingbird,Tyrannus melancholicus,121,357,233,1,1,1,1,1,1,4,4,4,LC
Bare-faced Ibis,Phimosus infuscatus,113,436,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
House Wren,Troglodytes aedon,99,282,209,1,1,1,1,1,2,5,5,5,LC
Tricolored Munia,Lonchura malacca,97,1665,1276,1,1,1,1,1,1,4,4,4,LC
Common Tody-Flycatcher,Todirostrum cinereum,88,205,129,2,1,1,2,2,2,7,7,7,LC
Grassland Sparrow,Ammodramus humeralis,87,158,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yellow-bellied Seedeater,Sporophila nigricollis,73,159,133,2,1,1,2,2,2,7,7,7,LC
Cattle Egret,Bubulcus ibis,67,393,335,2,1,1,2,2,4,9,9,9,LC
Rufous-collared Sparrow,Zonotrichia capensis,67,146,97,2,1,1,1,1,1,5,5,5,LC
Ruddy-breasted Seedeater,Sporophila minuta,65,132,110,3,2,2,2,2,3,10,10,10,LC
Southern Caracara,Caracara plancus,62,113,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saffron Finch,Sicalis flaveola,57,209,174,2,1,1,2,2,2,7,7,7,LC
Great Kiskadee,Pitangus sulphuratus,55,97,81,1,1,1,1,1,2,5,5,5,LC
Buff-necked Ibis,Theristicus caudatus,53,140,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Striped Cuckoo,Tapera naevia,50,66,56,3,1,1,2,2,2,8,8,8,LC
Striated Heron,Butorides striata,46,78,64,2,1,1,3,3,2,8,8,8,LC
Blue-headed Parrot,Pionus menstruus,45,122,109,2,1,1,2,2,2,7,7,7,LC
Yellow Oriole,Icterus nigrogularis,45,83,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
