"","sp","site","mode","mean","X5.","X95."
"1","Actitis macularius","Parita_01_BayanoAvispa_03",0,0.0287867419042568,0,0
"2","Actitis macularius","Parita_01_BayanoLasTablas_04",2,2.6377710112832,2,4
"3","Actitis macularius","Parita_01_ElAgallito_05",0,0.0287867419042568,0,0
"4","Actitis macularius","Parita_01_ElReten_07",0,0.0287867419042568,0,0
"5","Actitis macularius","Parita_01_EsteroCamaron_13",1,1.0336467844506,1,1
"6","Actitis macularius","Parita_01_HondaSalada_01",0,0.164513474485257,0,1
"7","Actitis macularius","Parita_01_LasPalmitas_14",1,1.07719339156049,1,2
"8","Actitis macularius","Parita_01_LosAzules_12",1,1.0336467844506,1,1
"9","Actitis macularius","Parita_01_LosPalacios_06",0,0.0384911311597692,0,0
"10","Actitis macularius","Parita_01_LosPalacios_10",0,0.0384911311597692,0,0
"11","Actitis macularius","Parita_01_LosPalacios_11",0,0.0384911311597692,0,0
"12","Actitis macularius","Parita_01_Mamoni_08",0,0.0287867419042568,0,0
"13","Actitis macularius","Parita_01_Nanzal_09",0,0.0287867419042568,0,0
"14","Actitis macularius","Parita_01_PenonHonda_02",0,0.0287867419042568,0,0
"15","Actitis macularius","Parita_01_Sarigua_15",0,0.0287867419042568,0,0
"16","Actitis macularius","Parita_01_Sarigua_16",0,0.0287867419042568,0,0
"17","Amazilia tzacatl","Parita_01_BayanoAvispa_03",0,0.109236590681045,0,1
"18","Amazilia tzacatl","Parita_01_BayanoLasTablas_04",0,0.109236590681045,0,1
"19","Amazilia tzacatl","Parita_01_ElAgallito_05",1,1.23940629643233,1,2
"20","Amazilia tzacatl","Parita_01_ElReten_07",1,1.23940629643233,1,2
"21","Amazilia tzacatl","Parita_01_EsteroCamaron_13",0,0.109236590681045,0,1
"22","Amazilia tzacatl","Parita_01_HondaSalada_01",0,0.258593850414425,0,1
"23","Amazilia tzacatl","Parita_01_LasPalmitas_14",0,0.109236590681045,0,1
"24","Amazilia tzacatl","Parita_01_LosAzules_12",0,0.109236590681045,0,1
"25","Amazilia tzacatl","Parita_01_LosPalacios_06",0,0.126108147612255,0,1
"26","Amazilia tzacatl","Parita_01_LosPalacios_10",1,1.13587844317207,1,2
"27","Amazilia tzacatl","Parita_01_LosPalacios_11",1,1.27418765891243,1,2
"28","Amazilia tzacatl","Parita_01_Mamoni_08",0,0.109236590681045,0,1
"29","Amazilia tzacatl","Parita_01_Nanzal_09",0,0.109236590681045,0,1
"30","Amazilia tzacatl","Parita_01_PenonHonda_02",0,0.109236590681045,0,1
"31","Amazilia tzacatl","Parita_01_Sarigua_15",0,0.109236590681045,0,1
"32","Amazilia tzacatl","Parita_01_Sarigua_16",0,0.109236590681045,0,1
"33","Amazona autumnalis","Parita_01_BayanoAvispa_03",0,0.169490997762744,0,1
"34","Amazona autumnalis","Parita_01_BayanoLasTablas_04",0,0.169490997762744,0,1
"35","Amazona autumnalis","Parita_01_ElAgallito_05",0,0.169490997762744,0,1
"36","Amazona autumnalis","Parita_01_ElReten_07",0,0.169490997762744,0,1
"37","Amazona autumnalis","Parita_01_EsteroCamaron_13",1,1.35730455394679,1,2
"38","Amazona autumnalis","Parita_01_HondaSalada_01",0,0.374960541886133,0,2
"39","Amazona autumnalis","Parita_01_LasPalmitas_14",0,0.169490997762744,0,1
"40","Amazona autumnalis","Parita_01_LosAzules_12",1,1.18152979751794,1,2
"41","Amazona autumnalis","Parita_01_LosPalacios_06",0,0.193472744165178,0,1
"42","Amazona autumnalis","Parita_01_LosPalacios_10",1,1.70535813193786,1,3
"43","Amazona autumnalis","Parita_01_LosPalacios_11",1,1.40371905331626,1,3
"44","Amazona autumnalis","Parita_01_Mamoni_08",0,0.169490997762744,0,1
"45","Amazona autumnalis","Parita_01_Nanzal_09",0,0.169490997762744,0,1
"46","Amazona autumnalis","Parita_01_PenonHonda_02",1,1.18152979751794,1,2
