species,com_name,detect_score,dist_det_p,occ_det_p,func_spec,ccs_b
Adelomyia melanogenys,Speckled Hummingbird,1,0.10375856740008423,0.11300819715047183,1,9
Amazilia tzacatl,Rufous-tailed Hummingbird,3,0.06148894884030921,0.06092445455706426,1,9
Amazona mercenarius,Scaly-naped Parrot,2,0.17372984461203492,0.12820656494104482,2,12
Anabacerthia striaticollis,Montane Foliage-gleaner,1,0.10375856740008423,0.11300819715047183,3,11
Anisognathus somptuosus,Blue-winged Mountain Tanager,2,0.17372984461203492,0.12820656494104482,4,10
Anthracothorax nigricollis,Black-throated Mango,2,0.17372984461203492,0.12820656494104482,1,7
Arremon brunneinucha,Chestnut-capped Brushfinch,2,0.17372984461203492,0.12820656494104482,5,14
Atlapetes albinucha,White-naped Brushfinch,1,0.08659144356865146,0.13595994901158248,6,16
Atlapetes flaviceps,Yellow-headed Brushfinch,1,0.10375856740008423,0.11300819715047183,7,16
Atlapetes latinuchus,Yellow-breasted Brushfinch,1,0.10375856740008423,0.11300819715047183,6,12
Atlapetes schistaceus,Slaty Brushfinch,1,0.10375856740008423,0.11300819715047183,7,11
Aulacorhynchus albivitta,Southern Emerald-Toucanet,2,0.19083587838469282,0.019317445198748954,2,13
Aulacorhynchus haematopygus,Crimson-rumped Toucanet,2,0.13658955509495474,0.25000023404677335,2,12
Basileuterus culicivorus,Golden-crowned Warbler,1,0.10375856740008423,0.11300819715047183,8,11
Basileuterus tristriatus,Three-striped Warbler,2,0.04526781761799564,0.14285715048970365,8,11
Boissonneaua flavescens,Buff-tailed Coronet,1,0.10375856740008423,0.11300819715047183,1,11
Buteo platypterus,Broad-winged Hawk,1,0.10375856740008423,0.11300819715047183,9,8
Campephilus melanoleucos,Crimson-crested Woodpecker,2,0.17372984461203492,0.12820656494104482,10,11
Campephilus pollens,Powerful Woodpecker,1,0.10375856740008423,0.11300819715047183,10,13
Camptostoma obsoletum,Southern Beardless-Tyrannulet,2,0.17372984461203492,0.11320548611265417,3,6
Cardellina canadensis,Canada Warbler,1,0.10375856740008423,0.11300819715047183,11,12
Catharus aurantiirostris,Orange-billed Nightingale-thrush,1,0.10375856740008423,0.11300819715047183,6,12
Catharus ustulatus,Swainson's Thrush,1,0.10375856740008423,0.11300819715047183,7,8
Cercomacroides parkeri,Parker's Antbird,1,0.10375856740008423,0.11300819715047183,8,15
Chalcothraupis ruficervix,Golden-naped Tanager,1,0.10375856740008423,0.11300819715047183,12,11
Chalybura buffonii,White-vented Plumeleteer,1,0.10375856740008423,0.11300819715047183,1,13
Chamaepetes goudotii,Sickle-winged Guan,3,0.17124535804288793,0.1801459583443804,2,12
Chlorophanes spiza,Green Honeycreeper,2,0.10052744027404457,0.21052641771745428,12,12
Chlorophonia cyanea,Blue-naped Chlorophonia,1,0.10375856740008423,0.11300819715047183,12,10
Chlorophonia cyanocephala,Golden-rumped Euphonia,2,0.17372984461203492,0.12820656494104482,4,9
Chlorornis riefferii,Grass-green Tanager,1,0.10375856740008423,0.11300819715047183,4,11
Chlorospingus canigularis,Ashy-throated Chlorospingus,1,0.10375856740008423,0.11300819715047183,12,15
Chlorospingus flavopectus,Common Chlorospingus,1,0.10375856740008423,0.11300819715047183,4,11
Chlorostilbon melanorhynchus,Blue-tailed Emerald,1,0.10375856740008423,0.11300819715047183,1,9
Chrysuronia grayi,Blue-headed Sapphire,1,0.10375856740008423,0.11300819715047183,1,13
