watershed,property,path,site_point,x,y,perc_forest_fence,perc_forest_no_fence,perc_old_restoration,perc_savanna,perc_live_fences,percent_young_restoration,perc_agroforestry,perc_shrubs,perc_pasture,perc_other_crops,perc_water
Guacaica,El recreo,Pueblo viejo,1087-1,-75.52861812,5.153491683,0,5,0,15,25,0,0,0,55,0,0
Guacaica,Boca del monte,Guacaica,1060-1,-75.50747592,5.149997933,0,30,0,5,50,0,0,0,15,0,0
Guacaica,la judea,quebrada negra ,1092-1,-75.48405,5.153853333,0,100,0,0,0,0,0,0,0,0,0
Guabas,La estrella,Cocuyos,356-1,-76.19832864,3.772689403,0,100,0,0,0,0,0,0,0,0,0
Guabas,La estrella,Cocuyos,356-2,-76.19671555,3.77357905,0,0,0,20,0,50,0,0,0,30,0
Guabas,La estrella,Cocuyos,356-3,-76.19541497,3.7728213,20,0,0,0,0,0,80,0,0,0,0
Guabas,La estrella,Cocuyos,356-4,-76.19404208,3.771048817,0,30,0,0,0,0,0,0,70,0,0
Guabas,la estrella,Cocuyos,356-5,-76.19259187,3.770152884,50,0,0,30,0,0,0,0,20,0,0
Guabas,la estrella,Cocuyos,356-6,-76.19870333,3.770895,0,40,0,10,0,0,0,0,50,0,0
Guabas,la estrella,Cocuyos,356-7,-76.19869167,3.769003333,0,5,0,55,5,10,0,0,25,0,0
Guabas,la estrella,Cocuyos,356-8,-76.198855,3.767121666,0,5,0,30,0,0,65,0,0,0,0
Guabas,la estrella,Cocuyos,356-9,-76.19703667,3.767293906,10,0,0,0,0,90,0,0,0,0,0
Guabas,la estrella,Cocuyos,356-10,-76.19509833,3.766853333,100,0,0,0,0,0,0,0,0,0,0
Guabas,la estrella,Cocuyos,356-11,-76.19508667,3.768606667,30,0,0,15,0,0,0,0,55,0,0
Guabas,la estrella,Cocuyos,356-13,-76.19703167,3.769016667,100,0,0,0,0,0,0,0,0,0,0
Guabas,Cantalia,Cocuyos,318-1,-76.20254075,3.759122383,0,20,0,30,0,0,0,0,50,0,0
Guabas,Cantalia,Cocuyos,318-2,-76.20747552,3.760644367,0,0,0,60,0,0,0,0,40,0,0
Guabas,Cantalia,Cocuyos,318-3,-76.20782032,3.7589674,0,30,0,0,0,0,70,0,0,0,0
Guabas,carretera,cocuyos,318-4,-76.20578435,3.75892145,50,50,0,0,0,0,0,0,0,0,0
Guabas,carretera,Cocuyos,318-5,-76.20425522,3.757681167,0,50,0,30,0,0,0,0,0,0,20
Guabas,Cantalia,Cocuyos,318-6,-76.20532052,3.76028035,0,100,0,0,0,0,0,0,0,0,0
