species,detect_p_dist,detect_p_nmix,detect_p_comb,n_counted
Zimmerius chrysops,0.0973741027853095,0.12727804271308654,0.012393585213457101,432
Tyrannus melancholicus,0.1384473443046294,0.12864445325509238,0.01781048291268858,326
Zonotrichia capensis,0.10782832465846884,0.13201828903777513,0.014235310931220794,324
Troglodytes aedon,0.09798684818351862,0.13716749810828888,0.013440610812849979,283
Tiaris olivaceus,0.10497532350447786,0.12833265795274149,0.013471762284778541,217
Sporophila nigricollis,0.11492248660448952,0.1447740822097381,0.01663779752342589,185
Icterus chrysater,0.11890358634804771,0.1345298294308535,0.01599607919011962,182
Stilpnia vitriolina,0.11601328587683458,0.1421354753947342,0.016489603540209088,168
Thamnophilus multistriatus,0.08354721256259087,0.11088580630735191,0.009264200029734609,167
Thraupis episcopus,0.08111253704272892,0.11097884664089475,0.009001775809118907,167
Vanellus chilensis,0.0797619992439715,0.14282194718024793,0.011391764043013472,145
Ortalis columbiana,0.09142581861414785,0.11421503279075622,0.010442202870936628,144
Synallaxis azarae,0.11201720808167948,0.128046993751062,0.014343466743246222,130
Vireo leucophrys,0.10809714812231316,0.13859809841028564,0.014982059173327584,119
Momotus aequatorialis,0.11898739272026564,0.1519280514852418,0.018077522727299202,117
Pheugopedius mystacalis,0.1753441846736955,0.1399389361083781,0.024537478656027924,116
Bubulcus ibis,0.11059026217205432,0.12285635747287438,0.013586716782428803,114
Myiozetetes cayanensis,0.08353915134592764,0.11701254621546725,0.009775128807666272,108
Turdus ignobilis,0.08846929442723057,0.11760310503883932,0.0104042637252376,95
Crotophaga ani,0.1619144597240563,0.14171158883012577,0.022945155342067425,86
Rupornis magnirostris,0.14503254097294402,0.13405241931648532,0.01944196299704043,77
Saltator striatipectus,0.10087424085743969,0.12925527808837453,0.01303852805398204,75
Sicalis flaveola,0.1350798852013153,0.13096085703213728,0.01769017753376697,74
Zenaida auriculata,0.09238964731119712,0.11536451886660626,0.010658487210311698,72
Setophaga fusca,0.16525779030413537,0.11785122375995054,0.019475832823207643,68
Tangara gyrola,0.10843820739028695,0.1373956404925972,0.014898936958257563,67
Ramphocelus flammigerus,0.10101410399307843,0.136067352180168,0.013744721663190317,66
Henicorhina leucophrys,0.08375820642340388,0.12584944303302353,0.010540923627830392,64
Stilpnia heinei,0.15445411948681587,0.12766817090043092,0.019718874922918385,64
Columbina talpacoti,0.09618308812870265,0.11996575135747103,0.011538676435241665,61
Stilpnia cyanicollis,0.15121691941425433,0.13710586124367669,0.020732725970906994,61
Elaenia flavogaster,0.08873916173778551,0.13999429192364204,0.012422976113378831,60
Volatinia jacarina,0.09250983787591358,0.13915493081929148,0.012873200089726623,60
Thraupis palmarum,0.17160854278688578,0.11973157244481734,0.020546960672837553,59
Myioborus miniatus,0.14698495795253422,0.1478001398486432,0.021724397341031498,58
Camptostoma obsoletum,0.129045518860794,0.13014382090822973,0.016794476895628754,54
Spinus psaltria,0.134974751879748,0.13937569980918765,0.018812200499811343,54
Daptrius chimachima,0.08490266429673957,0.14032555042288747,0.011914013099809615,53
Colaptes rubiginosus,0.10972107067774053,0.11830359819600447,0.012980397459094824,52
Forpus conspicillatus,0.08026724396833997,0.1260983318445809,0.01012156556616967,52
Atlapetes albinucha,0.11414821153454531,0.14153251984011,0.016155684013726107,50
Turdus fuscater,0.13045174046671995,0.14330508118878074,0.018694397258801055,49
Pitangus sulphuratus,0.1272497644267304,0.12742934259191072,0.01621535382587376,47
Synallaxis albescens,0.10791067183697442,0.13695827586198936,0.014779259561900949,47
Cyanocorax affinis,0.08844691962804127,0.14369931021587623,0.012709761341268574,46
Tangara arthus,0.11453275750063517,0.1335248698233024,0.01529297153577617,46
Crypturellus soui,0.09862599416687721,0.13502139673327135,0.013316619486619235,44
Pionus chalcopterus,0.13559642234246086,0.13098579831455454,0.017761205629124734,44
Basileuterus tristriatus,0.08409714461069817,0.1327184142923873,0.011161239679249445,38
Dryocopus lineatus,0.08404771045407991,0.11461335644758491,0.00963299019687687,37
Melanerpes formicivorus,0.1899901920766181,0.14800219266682674,0.028118965012531052,36
Theristicus caudatus,0.11472876459699423,0.11396617131658396,0.013075198041001077,35
Stelgidopteryx ruficollis,0.09415237271063961,0.1349008591431927,0.012701235969035374,34
Amazilia tzacatl,0.06706255500779369,0.1308338309198187,0.00877405098294072,33
Tapera naevia,0.12849590814977296,0.13254890026991958,0.017031991314437004,33
Myiodynastes hemichrysus,0.16838209696116466,0.1512518024677772,0.025468095668680184,32
Patagioenas fasciata,0.20095438001119853,0.13390162229704183,0.02690811749119572,32
Cyanocorax yncas,0.10108813472451336,0.14008510056741436,0.014160941519055786,30
Leptopogon superciliaris,0.10538494231028833,0.13020268806208893,0.01372140277006771,27
Myadestes ralloides,0.1570658532126605,0.143479940302003,0.022535799242435695,26
Todirostrum cinereum,0.12295109614318087,0.139719078690332,0.017178613877091665,25
Chlorophanes spiza,0.0946304909369765,0.12422412413575545,0.01175538985318245,24
Sayornis nigricans,0.13299149884814046,0.13616696150556915,0.018109048304222684,24
Tangara nigroviridis,0.2737427071127714,0.1425260954126835,0.03901547919248113,24
Icterus nigrogularis,0.09652927906933124,0.12144128977425553,0.011722640151158635,23
